"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RC9",391986.546696247,0.232593097297745,0.21134783692207,1.10052272445783,0.271104434047061,0.991627631154911
"Bact-11",7697.39319985209,0.174360130198796,0.423628344105542,0.411587497920951,0.680641796679522,0.991627631154911
"UBA1232",15369.5619357152,0.596003829129301,0.841483969380624,0.708277104278042,0.478773192459246,0.991627631154911
"RUG11257",4002.51959780271,0.382664345540607,0.381232343677078,1.00375624441966,0.315496119542501,0.991627631154911
"Phil12",209305.334759471,1.08056203699675,0.826935962740912,1.306705822075,0.191312640606513,0.984234290871907
"UBA1711",118203.407354828,-0.243755805458649,0.438630448895121,-0.555720210652619,0.578402138040058,0.991627631154911
"UBA1217",47450.6192228065,-2.12102348914512,0.811567332144444,-2.61349047101322,0.00896225828565002,0.319322730056169
"UBA1219",1303.29703647107,0.544655474977025,0.475070676270998,1.14647251910436,0.25159969161164,0.991627631154911
"MGYG000292947",294.48931021701,-0.139302823099093,0.313239784918744,-0.444716251912983,0.656524823040612,0.991627631154911
"UBA3663",17608.6092993202,-1.19850313510664,0.609895508477344,-1.96509585404031,0.0494031443862322,0.571289097476778
"F23-D06",61179.4632929956,0.262160108234809,0.503978783705142,0.520180842351071,0.602937536610241,0.991627631154911
"UBA1756",4482.70482455127,-1.48121926917908,0.577016641247864,-2.56703041696644,0.0102573614343212,0.319322730056169
"RUG11942",1300.98160192872,0.224532771433361,0.197889153301183,1.13463910319342,0.256526562162323,0.991627631154911
"UBA1195",2231.40606974598,-0.452604847197549,0.412970944860683,-1.09597261703299,0.273090758047589,0.991627631154911
"UBA1205",552.103825175719,0.423775614958837,0.328201783572921,1.29120448507459,0.196632780300042,0.984234290871907
"MGYG000294291",348.867527755771,0.441538863914872,0.411374444965368,1.07332594262642,0.283124899303338,0.991627631154911
"F082",42639.6340931923,0.457764741304494,0.366192819090449,1.25006476763114,0.211275888794252,0.984234290871907
"RUG13583",6005.04684511179,0.198655400423958,0.599813592475237,0.331195229511507,0.740497023380431,0.991627631154911
"UBA1715",2065.52223590224,-0.452709121713782,0.539367229779127,-0.839333753923404,0.401282046970566,0.991627631154911
"Bact-19",10414.73738126,0.919936775367059,0.729368097931905,1.26127915105624,0.207208290102259,0.984234290871907
"MGYG000294391",218.882082596356,0.174653783471667,0.274131501195973,0.637116795077154,0.52404876949778,0.991627631154911
"JAAYTD01",1246.37639884194,0.958198020549522,0.669080975162722,1.43211069529587,0.152112144068008,0.962003150487809
"Ruminococcus_E",113221.672394363,0.0616359012224746,0.415278237222727,0.148420735058691,0.882010737087217,0.991627631154911
"UBA1213",89573.042387021,-0.0326331738832199,0.724004396352935,-0.0450731708917857,0.964048986208721,0.991627631154911
"RUG592",24683.675466092,-0.524892064850738,0.837339965240497,-0.626856577543126,NA,NA
"RUG420",110994.437998653,-0.210747088575988,0.517586829270024,-0.407172433025806,0.683881346986223,0.991627631154911
"RUG762",18208.9887805636,0.777901255910586,0.705405925836083,1.10277108175492,0.270126589330251,0.991627631154911
"Eubacterium_R",14355.2159689911,0.226811994900059,0.434508270832458,0.521996956388237,0.601672449728899,0.991627631154911
"RUG806",8617.84050546416,-0.817728915040124,0.289465426810916,-2.82496229014002,0.00472861808065628,0.257236823587702
"UBA6857",8633.61397887546,0.241356518829517,0.24101642663886,1.00141107473627,0.316628112105813,0.991627631154911
"CAG-964",2641.14202740314,0.119159366356704,0.441622952085458,0.269821497714289,0.787297583241048,0.991627631154911
"RUG714",2119.2478141622,0.206122288714859,0.384402623833043,0.536214572781855,0.591810263072008,0.991627631154911
